Year,CA,ODS,Indicador,Descripción,Value
2011,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"44261,000"
2012,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"44323,000"
2013,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"7,000"
2014,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"44325,000"
2015,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"8,000"
2016,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"44203,000"
2017,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"44232,000"
2018,ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,"8,000"
2010,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,"44391,000"
2011,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,"44520,000"
2012,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,20.62
2013,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,25.26
2014,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,27.43
2015,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,24.85
2016,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,23.46
2017,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,21.91
2018,ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,"44457,000"
2010,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.1204396
2011,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.107748919
2012,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.178930675
2013,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.059614196
2014,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.071506454
2015,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.17860681
2016,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.059495931
2017,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.130908729
2018,ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.071375694
2015,ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población. cogiendo el 40% más pobre de cada Comunidad Autónoma,-5.075236129
2016,ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población. cogiendo el 40% más pobre de cada Comunidad Autónoma,-1.721570928
2017,ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población. cogiendo el 40% más pobre de cada Comunidad Autónoma,-0.110169447
2018,ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población. cogiendo el 40% más pobre de cada Comunidad Autónoma,2.219833973
2011,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,0.365119542
2012,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-1.811260244
2013,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-3.223839123
2014,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-2.058116875
2015,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-1.798849864
2016,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,-0.204585311
2017,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2.029167726
2018,ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,3.384970922
2011,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,1.496982498
2012,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.918421238
2013,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-3.789889587
2014,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-2.675400027
2015,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-2.213431902
2016,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,0.118123653
2017,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,1.930576281
2018,ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2.70558875
2015,ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,-3.1
2016,ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,-0.8
2017,ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,0.6
2018,ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,"44440,000"
2010,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44426,000"
2011,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44459,000"
2012,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44457,000"
2013,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44397,000"
2014,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"24,000"
2015,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44371,000"
2016,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"25,000"
2017,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44277,000"
2018,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44248,000"
2010,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,13.48
2011,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,13.55
2012,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"12754,000"
2013,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,13.64
2014,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,15.52
2015,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,16.68
2016,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,15.41
2017,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44544,000"
2018,ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,13.33
2010,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,35.1475
2011,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,23.7771
2012,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,"17945,000"
2013,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,23.0296
2014,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,24.2579
2015,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,16.9349
2016,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,18.1149
2017,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,"7304,000"
2018,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,23.6802
2010,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"2205882,000"
2011,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"-21243,000"
2012,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"1715759,000"
2013,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"185058,000"
2014,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"596382,000"
2015,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"2315121,000"
2016,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"922848,000"
2017,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"-10378,000"
2018,ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,"454179,000"
2010,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.1204396
2011,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.107748919
2012,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.178930675
2013,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.059614196
2014,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.071506454
2015,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.17860681
2016,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.059495931
2017,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.130908729
2018,ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.071375694
2010,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,599.180866194
2011,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,547.44939153
2012,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,573.701127323
2013,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,544.026514487
2014,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,497.11775361
2015,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,504.613771109
2016,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,523.039561463
2017,ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,521.897043617
2010,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.1204396
2011,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.107748919
2012,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.178930675
2013,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.059614196
2014,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.071506454
2015,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.17860681
2016,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.059495931
2017,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.130908729
2018,ANDALUCÍA,Acción por el clima,13.1.2.1,,0.071375694
2017,ANDALUCÍA,Acción por el clima,13.2.1.1,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita,6.405280811
2018,ANDALUCÍA,Acción por el clima,13.2.1.1,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita,6.319211375
2017,ANDALUCÍA,Acción por el clima,13.2.1.2,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB,0.352993313
2018,ANDALUCÍA,Acción por el clima,13.2.1.2,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB,0.340746684
2013,ANDALUCÍA,Paz. justicia e instituciones sólidas,16.1.4.1,Proporción de la población que se siente segura al caminar sola en su zona de residencia ,78.72
2010,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,58.69
2011,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,61.67
2012,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,66.71
2013,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,66.99
2014,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,71.24
2015,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,74.14
2016,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,78.78
2017,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,83.93
2018,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,84.8
2019,ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,89.45
2011,ANDALUCÍA,Hambre cero,2.2.2.1,Proporción de menores de 2 a 17 años con obesidad. sobrepeso o peso insuficiente,46.113666113
2012,ANDALUCÍA,Hambre cero,2.2.2.1,Proporción de menores de 2 a 17 años con obesidad. sobrepeso o peso insuficiente,46.113666113
2017,ANDALUCÍA,Hambre cero,2.2.2.1,Proporción de menores de 2 a 17 años con obesidad. sobrepeso o peso insuficiente,46.268111762
2010,ANDALUCÍA,Hambre cero,2.4.1.1,,17.110861989
2011,ANDALUCÍA,Hambre cero,2.4.1.1,,17.432632072
2012,ANDALUCÍA,Hambre cero,2.4.1.1,,19.336134033
2013,ANDALUCÍA,Hambre cero,2.4.1.1,,18.856647477
2014,ANDALUCÍA,Hambre cero,2.4.1.1,,15.828658018
2015,ANDALUCÍA,Hambre cero,2.4.1.1,,16.781702665
2016,ANDALUCÍA,Hambre cero,2.4.1.1,,20.145849493
2017,ANDALUCÍA,Hambre cero,2.4.1.1,,19.652217557
2018,ANDALUCÍA,Hambre cero,2.4.1.1,,19.604145082
2019,ANDALUCÍA,Hambre cero,2.4.1.1,,20.648583469
2010,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,4.33834774
2011,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,4.466678578
2012,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,1.157742402
2013,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,7.364674113
2014,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,7.299714095
2015,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,1.24018702
2016,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2.523245398
2017,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2018,ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,1.407875656
2010,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,4.620340343
2011,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,4.500178667
2012,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,4.02894356
2013,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.743709341
2014,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.929679421
2015,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.311299344
2016,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.330683926
2017,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.802688662
2018,ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.674555463
2010,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.537933428
2011,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.557173486
2012,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.153400868
2013,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.197127777
2014,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.688728025
2015,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.033906713
2016,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,1.917666503
2017,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.075411065
2018,ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.224443537
2010,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,266.412394584
2011,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,267.025765879
2012,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,271.318546105
2013,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,258.415616821
2014,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,262.130742162
2015,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,280.091199018
2016,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,264.602205443
2017,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,272.6233788
2018,ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,270.109417749
