Year;ODS;Indicador;Descripción;CA;Value
2013;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;26,5762
2014;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;28,972
2015;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;30,0285
2016;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;30,3101
2017;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;27,5106
2018;Fin de la pobreza;1.2.1.2;;ANDALUCÍA;27,6091
2010;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;15,9216
2011;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;17,8989
2012;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;15,972
2013;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;17,7001
2014;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;18,1846
2015;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;19,7678
2016;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;18,5964
2017;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;18,2728
2018;Fin de la pobreza;1.2.1.2_1;;ANDALUCÍA;15,6498
2010;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;35
2011;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;38,4
2012;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;36,9
2013;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;38,3
2014;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;42,3
2015;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;43,2
2016;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;41,7
2017;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;37,3
2018;Fin de la pobreza;1.2.2.1;Población en riesgo de pobreza o exclusión social: indicador AROPE;ANDALUCÍA;38,2
2010;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;27,53
2011;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;30,17
2012;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;28,01
2013;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;31,5
2014;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;33,68
2015;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;32,87
2016;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;32,3
2017;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;30,26
2018;Fin de la pobreza;1.2.2.1_1;Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma;ANDALUCÍA;27,2
2010;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;5,6
2011;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;6,3
2012;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;7,5
2013;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;7
2014;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;9,5
2015;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;8
2016;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;7,1
2017;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;5,2
2018;Fin de la pobreza;1.2.2.2;Población con carencia material severa;ANDALUCÍA;8
2010;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;14,7
2011;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;20,11
2012;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;20,62
2013;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;25,26
2014;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;27,43
2015;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;24,85
2016;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;23,46
2017;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;21,91
2018;Fin de la pobreza;1.2.2.3;Población viviendo en hogares con baja intensidad de trabajo;ANDALUCÍA;18,09
2010;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,1204396
2011;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,107748919
2012;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,178930675
2013;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,059614196
2014;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,071506454
2015;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,17860681
2016;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,059495931
2017;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,130908729
2018;Fin de la pobreza;1.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,071375694
2015;Reducción de las desigualdades;10.1.1.1;Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma;ANDALUCÍA;-5,075236129
2016;Reducción de las desigualdades;10.1.1.1;Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma;ANDALUCÍA;-1,721570928
2017;Reducción de las desigualdades;10.1.1.1;Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma;ANDALUCÍA;-0,110169447
2018;Reducción de las desigualdades;10.1.1.1;Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma;ANDALUCÍA;2,219833973
2011;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;0,365119542
2012;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;-1,811260244
2013;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;-3,223839123
2014;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;-2,058116875
2015;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;-1,798849864
2016;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;-0,204585311
2017;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;2,029167726
2018;Reducción de las desigualdades;10.1.1.2;Tasas de crecimiento per cápita de los gastos de los hogares de la población total;ANDALUCÍA;3,384970922
2011;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;1,496982498
2012;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;-1,918421238
2013;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;-3,789889587
2014;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;-2,675400027
2015;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;-2,213431902
2016;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;0,118123653
2017;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;1,930576281
2018;Reducción de las desigualdades;10.1.1.3;Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población;ANDALUCÍA;2,70558875
2015;Reducción de las desigualdades;10.1.1.4;Tasas de crecimiento per cápita de los ingresos de los hogares de la población total;ANDALUCÍA;-3,1
2016;Reducción de las desigualdades;10.1.1.4;Tasas de crecimiento per cápita de los ingresos de los hogares de la población total;ANDALUCÍA;-0,8
2017;Reducción de las desigualdades;10.1.1.4;Tasas de crecimiento per cápita de los ingresos de los hogares de la población total;ANDALUCÍA;0,6
2018;Reducción de las desigualdades;10.1.1.4;Tasas de crecimiento per cápita de los ingresos de los hogares de la población total;ANDALUCÍA;1,9
2010;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;18,8
2011;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;20,9
2012;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;18,9
2013;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;20,7
2014;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;24
2015;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;24,6
2016;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;25
2017;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;22,3
2018;Reducción de las desigualdades;10.2.1.1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos;ANDALUCÍA;21,2
2010;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;13,48
2011;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;13,55
2012;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;12,34
2013;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;13,64
2014;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;15,52
2015;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;16,68
2016;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;15,41
2017;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;14,12
2018;Reducción de las desigualdades;10.2.1.1_1;Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma;ANDALUCÍA;13,33
2010;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;35,1475
2011;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;23,7771
2012;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;17,945
2013;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;23,0296
2014;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;24,2579
2015;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;16,9349
2016;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;18,1149
2017;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;7,304
2018;Ciudades y comunidades sostenibles;11.1.1.1;;ANDALUCÍA;23,6802
2010;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;7,7939
2011;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;11,1841
2012;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;8,6597
2013;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;9,2406
2014;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;11,3532
2015;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;8,8238
2016;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;9,4426
2017;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;8,1871
2018;Ciudades y comunidades sostenibles;11.1.1.2;;ANDALUCÍA;7,3143
2010;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,1204396
2011;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,107748919
2012;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,178930675
2013;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,059614196
2014;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,071506454
2015;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,17860681
2016;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,059495931
2017;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,130908729
2018;Ciudades y comunidades sostenibles;11.5.1.1;Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes;ANDALUCÍA;0,071375694
2010;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;599,1808662
2011;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;547,4493915
2012;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;573,7011273
2013;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;544,0265145
2014;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;497,1177536
2015;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;504,6137711
2016;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;523,0395615
2017;Ciudades y comunidades sostenibles;11.6.1.1;;ANDALUCÍA;521,8970436
2010;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,1204396
2011;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,107748919
2012;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,178930675
2013;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,059614196
2014;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,071506454
2015;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,17860681
2016;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,059495931
2017;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,130908729
2018;Acción por el clima;13.1.2.1;;ANDALUCÍA;0,071375694
2017;Acción por el clima;13.2.1.1;Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita;ANDALUCÍA;6,405280811
2018;Acción por el clima;13.2.1.1;Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita;ANDALUCÍA;6,319211375
2017;Acción por el clima;13.2.1.2;Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB;ANDALUCÍA;0,352993313
2018;Acción por el clima;13.2.1.2;Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB;ANDALUCÍA;0,340746684
2013;Paz, justicia e instituciones sólidas;16.1.4.1;Proporción de la población que se siente segura al caminar sola en su zona de residencia ;ANDALUCÍA;78,72
2010;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;58,69
2011;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;61,67
2012;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;66,71
2013;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;66,99
2014;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;71,24
2015;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;74,14
2016;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;78,78
2017;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;83,93
2018;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;84,8
2019;Alianzas para lograr los objetivos;17.8.1.1;;ANDALUCÍA;89,45
2011;Hambre cero;2.2.2.1;Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente;ANDALUCÍA;46,11366611
2012;Hambre cero;2.2.2.1;Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente;ANDALUCÍA;46,11366611
2017;Hambre cero;2.2.2.1;Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente;ANDALUCÍA;46,26811176
2010;Hambre cero;2.4.1.1;;ANDALUCÍA;17,11086199
2011;Hambre cero;2.4.1.1;;ANDALUCÍA;17,43263207
2012;Hambre cero;2.4.1.1;;ANDALUCÍA;19,33613403
2013;Hambre cero;2.4.1.1;;ANDALUCÍA;18,85664748
2014;Hambre cero;2.4.1.1;;ANDALUCÍA;15,82865802
2015;Hambre cero;2.4.1.1;;ANDALUCÍA;16,78170267
2016;Hambre cero;2.4.1.1;;ANDALUCÍA;20,14584949
2017;Hambre cero;2.4.1.1;;ANDALUCÍA;19,65221756
2018;Hambre cero;2.4.1.1;;ANDALUCÍA;19,60414508
2019;Hambre cero;2.4.1.1;;ANDALUCÍA;20,64858347
2010;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;4,33834774
2011;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;4,466678578
2012;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;1,157742402
2013;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;7,364674113
2014;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;7,299714095
2015;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;1,24018702
2016;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;2,523245398
2017;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;0
2018;Salud y bienestar;3.1.1.1;Tasa de mortalidad materna;ANDALUCÍA;1,407875656
2010;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;4,620340343
2011;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;4,500178667
2012;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;4,02894356
2013;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;3,743709341
2014;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;3,929679421
2015;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;3,311299344
2016;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;3,330683926
2017;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;3,802688662
2018;Salud y bienestar;3.2.1.1;Tasa de mortalidad de niños menores de 5 años;ANDALUCÍA;3,674555463
2010;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,537933428
2011;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,557173486
2012;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,153400868
2013;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,197127777
2014;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,688728025
2015;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,033906713
2016;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;1,917666503
2017;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,075411065
2018;Salud y bienestar;3.2.2.1;Tasa de mortalidad neonatal;ANDALUCÍA;2,224443537
2010;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;266,4123946
2011;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;267,0257659
2012;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;271,3185461
2013;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;258,4156168
2014;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;262,1307422
2015;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;280,091199
2016;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;264,6022054
2017;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;272,6233788
2018;Salud y bienestar;3.4.1.1;Tasa de mortalidad atribuida a las enfermedades cardiovasculares;ANDALUCÍA;270,1094177
2010;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;ANDALUCÍA;32,47051609
2011;Salud y bienestar;3.4.1.2;Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas;ANDALUCÍA;33,12680659
