"CA","ODS","Indicador","Descripción","Año","Valor"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2011,"19,66"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2012,"17,09"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2013,"19,33"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2014,"20,32"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2015,"20,85"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2016,"21,33"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2017,"21,35"
"ANDALUCÍA","Fin de la pobreza","1.2.1.1_1","Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma",2018,"17,95"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2010,"22,8931"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2011,"25,614"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2012,"24,4377"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2013,"26,5762"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2014,"28,972"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2015,"30,0285"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2016,"30,3101"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2017,"27,5106"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2",,2018,"27,6091"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2010,"15,9216"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2011,"17,8989"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2012,"15,972"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2013,"17,7001"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2014,"18,1846"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2015,"19,7678"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2016,"18,5964"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2017,"18,2728"
"ANDALUCÍA","Fin de la pobreza","1.2.1.2_1",,2018,"15,6498"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2010,35
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2011,"38,4"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2012,"36,9"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2013,"38,3"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2014,"42,3"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2015,"43,2"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2016,"41,7"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2017,"37,3"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1","Población en riesgo de pobreza o exclusión social: indicador AROPE",2018,"38,2"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2010,"27,53"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2011,"30,17"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2012,"28,01"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2013,"31,5"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2014,"33,68"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2015,"32,87"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2016,"32,3"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2017,"30,26"
"ANDALUCÍA","Fin de la pobreza","1.2.2.1_1","Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2018,"27,2"
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2010,"5,6"
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2011,"6,3"
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2012,"7,5"
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2013,7
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2014,"9,5"
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2015,8
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2016,"7,1"
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2017,"5,2"
"ANDALUCÍA","Fin de la pobreza","1.2.2.2","Población con carencia material severa",2018,8
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2010,"14,7"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2011,"20,11"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2012,"20,62"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2013,"25,26"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2014,"27,43"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2015,"24,85"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2016,"23,46"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2017,"21,91"
"ANDALUCÍA","Fin de la pobreza","1.2.2.3","Población viviendo en hogares con baja intensidad de trabajo",2018,"18,09"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2010,"0,1204396"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2011,"0,107748919"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2012,"0,178930675"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2013,"0,059614196"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2014,"0,071506454"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2015,"0,17860681"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2016,"0,059495931"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2017,"0,130908729"
"ANDALUCÍA","Fin de la pobreza","1.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2018,"0,071375694"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.1","Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2015,"-5,075236129"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.1","Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2016,"-1,721570928"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.1","Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2017,"-0,110169447"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.1","Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2018,"2,219833973"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2011,"0,365119542"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2012,"-1,811260244"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2013,"-3,223839123"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2014,"-2,058116875"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2015,"-1,798849864"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2016,"-0,204585311"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2017,"2,029167726"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.2","Tasas de crecimiento per cápita de los gastos de los hogares de la población total",2018,"3,384970922"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2011,"1,496982498"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2012,"-1,918421238"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2013,"-3,789889587"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2014,"-2,675400027"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2015,"-2,213431902"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2016,"0,118123653"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2017,"1,930576281"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.3","Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población",2018,"2,70558875"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.4","Tasas de crecimiento per cápita de los ingresos de los hogares de la población total",2015,"-3,1"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.4","Tasas de crecimiento per cápita de los ingresos de los hogares de la población total",2016,"-0,8"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.4","Tasas de crecimiento per cápita de los ingresos de los hogares de la población total",2017,"0,6"
"ANDALUCÍA","Reducción de las desigualdades","10.1.1.4","Tasas de crecimiento per cápita de los ingresos de los hogares de la población total",2018,"1,9"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2010,"18,8"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2011,"20,9"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2012,"18,9"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2013,"20,7"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2014,24
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2015,"24,6"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2016,25
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2017,"22,3"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos",2018,"21,2"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2010,"13,48"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2011,"13,55"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2012,"12,34"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2013,"13,64"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2014,"15,52"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2015,"16,68"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2016,"15,41"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2017,"14,12"
"ANDALUCÍA","Reducción de las desigualdades","10.2.1.1_1","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2018,"13,33"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2010,"35,1475"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2011,"23,7771"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2012,"17,945"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2013,"23,0296"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2014,"24,2579"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2015,"16,9349"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2016,"18,1149"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2017,"7,304"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.1",,2018,"23,6802"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2010,"7,7939"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2011,"11,1841"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2012,"8,6597"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2013,"9,2406"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2014,"11,3532"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2015,"8,8238"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2016,"9,4426"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2017,"8,1871"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.1.1.2",,2018,"7,3143"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2010,"0,1204396"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2011,"0,107748919"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2012,"0,178930675"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2013,"0,059614196"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2014,"0,071506454"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2015,"0,17860681"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2016,"0,059495931"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2017,"0,130908729"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.5.1.1","Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes",2018,"0,071375694"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2010,"599,180866194"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2011,"547,44939153"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2012,"573,701127323"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2013,"544,026514487"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2014,"497,11775361"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2015,"504,613771109"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2016,"523,039561463"
"ANDALUCÍA","Ciudades y comunidades sostenibles","11.6.1.1",,2017,"521,897043617"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2010,"0,1204396"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2011,"0,107748919"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2012,"0,178930675"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2013,"0,059614196"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2014,"0,071506454"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2015,"0,17860681"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2016,"0,059495931"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2017,"0,130908729"
"ANDALUCÍA","Acción por el clima","13.1.2.1",,2018,"0,071375694"
"ANDALUCÍA","Acción por el clima","13.2.1.1","Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita",2017,"6,405280811"
"ANDALUCÍA","Acción por el clima","13.2.1.1","Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita",2018,"6,319211375"
"ANDALUCÍA","Acción por el clima","13.2.1.2","Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB",2017,"0,352993313"
"ANDALUCÍA","Acción por el clima","13.2.1.2","Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB",2018,"0,340746684"
"ANDALUCÍA","Paz, justicia e instituciones sólidas","16.1.4.1","Proporción de la población que se siente segura al caminar sola en su zona de residencia ",2013,"78,72"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2010,"58,69"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2011,"61,67"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2012,"66,71"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2013,"66,99"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2014,"71,24"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2015,"74,14"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2016,"78,78"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2017,"83,93"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2018,"84,8"
"ANDALUCÍA","Alianzas para lograr los objetivos","17.8.1.1",,2019,"89,45"
"ANDALUCÍA","Hambre cero","2.2.2.1","Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente",2011,"46,113666113"
"ANDALUCÍA","Hambre cero","2.2.2.1","Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente",2012,"46,113666113"
"ANDALUCÍA","Hambre cero","2.2.2.1","Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente",2017,"46,268111762"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2010,"17,110861989"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2011,"17,432632072"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2012,"19,336134033"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2013,"18,856647477"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2014,"15,828658018"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2015,"16,781702665"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2016,"20,145849493"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2017,"19,652217557"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2018,"19,604145082"
"ANDALUCÍA","Hambre cero","2.4.1.1",,2019,"20,648583469"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2010,"4,33834774"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2011,"4,466678578"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2012,"1,157742402"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2013,"7,364674113"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2014,"7,299714095"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2015,"1,24018702"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2016,"2,523245398"
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2017,0
"ANDALUCÍA","Salud y bienestar","3.1.1.1","Tasa de mortalidad materna",2018,"1,407875656"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2010,"4,620340343"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2011,"4,500178667"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2012,"4,02894356"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2013,"3,743709341"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2014,"3,929679421"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2015,"3,311299344"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2016,"3,330683926"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2017,"3,802688662"
"ANDALUCÍA","Salud y bienestar","3.2.1.1","Tasa de mortalidad de niños menores de 5 años",2018,"3,674555463"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2010,"2,537933428"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2011,"2,557173486"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2012,"2,153400868"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2013,"2,197127777"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2014,"2,688728025"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2015,"2,033906713"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2016,"1,917666503"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2017,"2,075411065"
"ANDALUCÍA","Salud y bienestar","3.2.2.1","Tasa de mortalidad neonatal",2018,"2,224443537"
"ANDALUCÍA","Salud y bienestar","3.4.1.1","Tasa de mortalidad atribuida a las enfermedades cardiovasculares",2010,"266,412394584"
