CA,ODS,Indicador,Descripción,Year,Value
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2013,19.33
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2014,20.32
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2015,20.85
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2016,21.33
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2017,21.35
ANDALUCÍA,Fin de la pobreza,1.2.1.1_1,Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma,2018,17.95
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2010,22.89
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2011,25.61
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2012,24.44
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2013,26.58
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2014,28.97
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2015,30.03
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2016,30.31
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2017,27.51
ANDALUCÍA,Fin de la pobreza,1.2.1.2,,2018,27.61
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2010,15.92
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2011,17.90
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2012,15.97
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2013,17.70
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2014,18.18
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2015,19.77
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2016,18.60
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2017,18.27
ANDALUCÍA,Fin de la pobreza,1.2.1.2_1,,2018,15.65
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2010,35.00
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2011,38.40
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2012,36.90
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2013,38.30
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2014,42.30
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2015,43.20
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2016,41.70
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2017,37.30
ANDALUCÍA,Fin de la pobreza,1.2.2.1,Población en riesgo de pobreza o exclusión social: indicador AROPE,2018,38.20
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2010,27.53
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2011,30.17
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2012,28.01
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2013,31.50
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2014,33.68
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2015,32.87
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2016,32.30
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2017,30.26
ANDALUCÍA,Fin de la pobreza,1.2.2.1_1,"Población en riesgo de pobreza o exclusión social: indicador AROPE, considerando la mediana de cada comunidad autónoma",2018,27.20
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2010,5.60
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2011,6.30
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2012,7.50
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2013,7.00
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2014,9.50
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2015,8.00
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2016,7.10
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2017,5.20
ANDALUCÍA,Fin de la pobreza,1.2.2.2,Población con carencia material severa,2018,8.00
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2010,14.70
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2011,20.11
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2012,20.62
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2013,25.26
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2014,27.43
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2015,24.85
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2016,23.46
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2017,21.91
ANDALUCÍA,Fin de la pobreza,1.2.2.3,Población viviendo en hogares con baja intensidad de trabajo,2018,18.09
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2010,0.12
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2011,0.11
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2012,0.18
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2013,0.06
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2014,0.07
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2015,0.18
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2016,0.06
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2017,0.13
ANDALUCÍA,Fin de la pobreza,1.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2018,0.07
ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2015,-5.08
ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2016,-1.72
ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2017,-0.11
ANDALUCÍA,Reducción de las desigualdades,10.1.1.1,"Tasas de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población, cogiendo el 40% más pobre de cada Comunidad Autónoma",2018,2.22
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2011,0.37
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2012,-1.81
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2013,-3.22
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2014,-2.06
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2015,-1.80
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2016,-0.20
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2017,2.03
ANDALUCÍA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2018,3.38
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2011,1.50
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2012,-1.92
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2013,-3.79
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2014,-2.68
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2015,-2.21
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2016,0.12
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2017,1.93
ANDALUCÍA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,2018,2.71
ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,2015,-3.10
ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,2016,-0.80
ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,2017,0.60
ANDALUCÍA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,2018,1.90
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2010,18.80
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2011,20.90
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2012,18.90
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2013,20.70
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2014,24.00
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2015,24.60
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2016,25.00
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2017,22.30
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,2018,21.20
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2010,13.48
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2011,13.55
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2012,12.34
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2013,13.64
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2014,15.52
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2015,16.68
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2016,15.41
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2017,14.12
ANDALUCÍA,Reducción de las desigualdades,10.2.1.1_1,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, cogiendo mediana de cada comunidad autónoma",2018,13.33
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2010,35.15
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2011,23.78
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2012,17.95
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2013,23.03
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2014,24.26
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2015,16.93
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2016,18.11
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2017,7.30
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.1,,2018,23.68
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2010,7.79
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2011,11.18
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2012,8.66
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2013,9.24
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2014,11.35
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2015,8.82
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2016,9.44
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2017,8.19
ANDALUCÍA,Ciudades y comunidades sostenibles,11.1.1.2,,2018,7.31
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2010,0.12
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2011,0.11
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2012,0.18
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2013,0.06
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2014,0.07
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2015,0.18
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2016,0.06
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2017,0.13
ANDALUCÍA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,2018,0.07
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2010,599.18
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2011,547.45
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2012,573.70
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2013,544.03
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2014,497.12
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2015,504.61
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2016,523.04
ANDALUCÍA,Ciudades y comunidades sostenibles,11.6.1.1,,2017,521.90
ANDALUCÍA,Acción por el clima,13.1.2.1,,2010,0.12
ANDALUCÍA,Acción por el clima,13.1.2.1,,2011,0.11
ANDALUCÍA,Acción por el clima,13.1.2.1,,2012,0.18
ANDALUCÍA,Acción por el clima,13.1.2.1,,2013,0.06
ANDALUCÍA,Acción por el clima,13.1.2.1,,2014,0.07
ANDALUCÍA,Acción por el clima,13.1.2.1,,2015,0.18
ANDALUCÍA,Acción por el clima,13.1.2.1,,2016,0.06
ANDALUCÍA,Acción por el clima,13.1.2.1,,2017,0.13
ANDALUCÍA,Acción por el clima,13.1.2.1,,2018,0.07
ANDALUCÍA,Acción por el clima,13.2.1.1,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita,2017,6.41
ANDALUCÍA,Acción por el clima,13.2.1.1,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita,2018,6.32
ANDALUCÍA,Acción por el clima,13.2.1.2,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB,2017,0.35
ANDALUCÍA,Acción por el clima,13.2.1.2,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB,2018,0.34
ANDALUCÍA,"Paz, justicia e instituciones sólidas",16.1.4.1,Proporción de la población que se siente segura al caminar sola en su zona de residencia ,2013,78.72
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2010,58.69
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2011,61.67
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2012,66.71
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2013,66.99
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2014,71.24
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2015,74.14
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2016,78.78
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2017,83.93
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2018,84.80
ANDALUCÍA,Alianzas para lograr los objetivos,17.8.1.1,,2019,89.45
ANDALUCÍA,Hambre cero,2.2.2.1,"Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente",2011,46.11
ANDALUCÍA,Hambre cero,2.2.2.1,"Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente",2012,46.11
ANDALUCÍA,Hambre cero,2.2.2.1,"Proporción de menores de 2 a 17 años con obesidad, sobrepeso o peso insuficiente",2017,46.27
ANDALUCÍA,Hambre cero,2.4.1.1,,2010,17.11
ANDALUCÍA,Hambre cero,2.4.1.1,,2011,17.43
ANDALUCÍA,Hambre cero,2.4.1.1,,2012,19.34
ANDALUCÍA,Hambre cero,2.4.1.1,,2013,18.86
ANDALUCÍA,Hambre cero,2.4.1.1,,2014,15.83
ANDALUCÍA,Hambre cero,2.4.1.1,,2015,16.78
ANDALUCÍA,Hambre cero,2.4.1.1,,2016,20.15
ANDALUCÍA,Hambre cero,2.4.1.1,,2017,19.65
ANDALUCÍA,Hambre cero,2.4.1.1,,2018,19.60
ANDALUCÍA,Hambre cero,2.4.1.1,,2019,20.65
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2010,4.34
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2011,4.47
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2012,1.16
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2013,7.36
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2014,7.30
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2015,1.24
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2016,2.52
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2017,0.00
ANDALUCÍA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,2018,1.41
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2010,4.62
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2011,4.50
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2012,4.03
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2013,3.74
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2014,3.93
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2015,3.31
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2016,3.33
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2017,3.80
ANDALUCÍA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2018,3.67
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2010,2.54
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2011,2.56
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2012,2.15
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2013,2.20
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2014,2.69
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2015,2.03
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2016,1.92
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2017,2.08
ANDALUCÍA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2018,2.22
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2010,266.41
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2011,267.03
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2012,271.32
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2013,258.42
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2014,262.13
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2015,280.09
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2016,264.60
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2017,272.62
ANDALUCÍA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,2018,270.11
ANDALUCÍA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,2010,32.47
ANDALUCÍA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,2011,33.13
ANDALUCÍA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,2012,36.01
ANDALUCÍA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,2013,31.01
ANDALUCÍA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,2014,30.29
ANDALUCÍA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,2015,33.52
